mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score
0.0010965108871459962	0.0002988124972252997	0.0	0.0	entropy	10	14	4	2	-20	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': -20}													49
0.18423540592193605	0.010604683622483667	0.014278745651245118	0.0037806159577561662	entropy	10	14	4	2	80	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 80}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.40239553451538085	0.01154752222186089	0.026695752143859865	0.0016156246401915107	entropy	10	14	4	2	180	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 180}	1.0	1.0	0.9870967741935484	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9903183912861333	0.008285625490653372	31
0.6677792787551879	0.04030969357950263	0.04347517490386963	0.005925291738592476	entropy	10	14	4	2	280	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 280}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.9050946474075318	0.028757976595785134	0.053023767471313474	0.0016716084677047347	entropy	10	14	4	2	380	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 380}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.0007987737655639649	0.0003993925535713572	0.0	0.0	entropy	10	14	4	3	-20	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': -20}													49
0.193696928024292	0.007219794650474222	0.014115548133850098	0.0016957385181623744	entropy	10	14	4	3	80	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 80}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.42325892448425295	0.010975750922937936	0.027759671211242676	0.00216326905499735	entropy	10	14	4	3	180	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 180}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.9042571306228637	0.1538349694298055	0.06402552127838135	0.008983560915091934	entropy	10	14	4	3	280	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 280}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
1.4089330196380616	0.06745377671761252	0.09024579524993896	0.007570159795726607	entropy	10	14	4	3	380	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 380}	1.0	1.0	0.9935483870967742	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9909635525764559	0.00826079671129768	1
0.0017940282821655273	0.0007457603886555955	0.0	0.0	entropy	10	14	4	4	-20	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': -20}													49
0.30034947395324707	0.01420125182665765	0.020488882064819337	0.0021925254304966018	entropy	10	14	4	4	80	{'criterion': 'entropy', 'max_depth': 10, 'max_features': 14, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 80}	1.0	1.0	0.9870967741935484	0.9935483870967742	0.9806451612903225	0.9870967741935484	0.9870967741935484	1.0	0.9741935483870968	0.9935064935064936	0.9903183912861333	0.008285625490653372	31
